LineNo.,EventNo.,PID,State,Parent1,Parent2,CF,ACF,Px,Py,Pz,E,M,cTau,SpinProj
58493,9689,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58494,9689,-11,1,1,0,0,0,+8.0346964822e+00,-3.8813541075e+01,-6.7643676896e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58495,9689,12,1,1,0,0,0,-8.0346964822e+00,+3.8813541075e+01,+6.7643676896e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58499,9690,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58500,9690,-13,1,1,0,0,0,+2.6074536732e+01,+3.0607372415e+01,-3.3358151541e-01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58501,9690,14,1,1,0,0,0,-2.6074536732e+01,-3.0607372415e+01,+3.3358151541e-01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58505,9691,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58506,9691,11,1,1,0,0,0,+4.5657491261e+00,-3.9345534683e+01,+6.9200306374e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58507,9691,-12,1,1,0,0,0,-4.5657491261e+00,+3.9345534683e+01,-6.9200306374e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58511,9692,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58512,9692,11,1,1,0,0,0,+2.7634194149e+01,+2.7399634724e+01,+1.0120045422e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58513,9692,-12,1,1,0,0,0,-2.7634194149e+01,-2.7399634724e+01,-1.0120045422e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58517,9693,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
58518,9693,-13,1,1,0,0,0,+2.5004077277e+01,+2.7328527895e+01,+1.5644541260e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58519,9693,14,1,1,0,0,0,-2.5004077277e+01,-2.7328527895e+01,-1.5644541260e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58523,9694,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
58524,9694,13,1,1,0,0,0,+1.5877110946e+01,-1.5071144915e+01,-3.3728058461e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58525,9694,-14,1,1,0,0,0,-1.5877110946e+01,+1.5071144915e+01,+3.3728058461e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58529,9695,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
58530,9695,13,1,1,0,0,0,+3.9235158872e+00,+2.8954593747e+01,+2.7623206053e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58531,9695,-14,1,1,0,0,0,-3.9235158872e+00,-2.8954593747e+01,-2.7623206053e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58535,9696,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
58536,9696,11,1,1,0,0,0,+1.9272032328e+01,+3.3428993326e+01,+1.1309074397e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58537,9696,-12,1,1,0,0,0,-1.9272032328e+01,-3.3428993326e+01,-1.1309074397e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58541,9697,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58542,9697,-13,1,1,0,0,0,-3.4803782884e+01,-2.0078866281e+00,+2.0036693261e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58543,9697,14,1,1,0,0,0,+3.4803782884e+01,+2.0078866281e+00,-2.0036693261e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58547,9698,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58548,9698,11,1,1,0,0,0,-3.7681125895e+01,-3.6327209786e-01,-1.4028712458e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58549,9698,-12,1,1,0,0,0,+3.7681125895e+01,+3.6327209786e-01,+1.4028712458e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58553,9699,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58554,9699,-11,1,1,0,0,0,-3.3514895194e+01,-3.9713007831e+00,-2.1858283529e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58555,9699,12,1,1,0,0,0,+3.3514895194e+01,+3.9713007831e+00,+2.1858283529e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58559,9700,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58560,9700,13,1,1,0,0,0,-2.6656114365e+01,+2.8549244105e+01,+9.5496710194e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58561,9700,-14,1,1,0,0,0,+2.6656114365e+01,-2.8549244105e+01,-9.5496710194e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58565,9701,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58566,9701,11,1,1,0,0,0,-1.4130591411e+01,-3.5063481528e+01,-1.3699731316e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
